param;C245;C255;C345;C355;C390;C440;C550;C590
eA;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9
SA;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9
eB;1;1;1;1;1;1;1;1
SB;1;1;1;1;1;1;1;1
eC;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7
SC;1;1;1;1;1;1;1;1
eD;14;14;16;16;17;17;18;18
SD;1;1;1;1;1;1;1;1
eE;141.6;141.6;88.3;88.3;67.1;49.6;26.2;26.2
SE;1.653;1.653;1.415;1.415;1.345;1.33;1.16;1.16
eF;251;251;153;153;115;87.2;51.1;51.1
SF;1.35;1.35;1.26;1.26;1.23;1.2;1.1;1.1
Ry;245;255;345;355;390;440;550;590
E;206000;206000;206000;206000;206000;206000;206000;206000
